6420	burning	48
8625	commonwealth	48
9812	counterfeit	48
12077	disgrace	48
16860	gestures	48
16955	glass	48
20146	instance	48
21267	kill	48
21336	knowledge	48
23666	meet	48
24038	methinks	48
25351	necessity	48
27580	patience	48
30362	proud	48
30988	quiet	48
33098	saying	48
33539	seem	48
36797	ten	48
37608	town	48
2001	account	47
4025	approve	47
5306	baths	47
7261	causa	47
8547	command	47
8560	commend	47
9846	court	47
10544	daily	47
12051	discreet	47
12816	duke	47
12904	dwell	47
13508	enemy	47
14535	express	47
14948	farther	47
15772	foolish	47
17622	half	47
18154	high	47
20150	instant	47
21317	knew	47
23089	male	47
23628	medicine	47
23653	meditation	47
24930	multa	47
25957	number	47
27005	overmuch	47
30367	prove	47
34862	spain	47
34955	speeches	47
36021	sum	47
39597	virtues	47
6381	built	46
7758	choler	46
8656	companions	46
9422	continually	46
15108	feet	46
15459	fits	46
15745	following	46
16776	gentleman	46
17292	greeks	46
17523	habent	46
24285	mirth	46
24951	multitude	46
25792	nose	46
25830	notice	46
26452	office	46
26499	olim	46
26769	order	46
27512	pass	46
27658	paul	46
31326	reasons	46
32265	riot	46
36543	tales	46
36766	temple	46
39656	vita	46
40162	whence	46
40276	wilt	46
40353	witness	46
2282	admired	45
2429	adviseth	45
3602	angry	45
3625	anima	45
3724	answer	45
3946	appear	45
5542	belly	45
9696	corpus	45
10627	dancing	45
10670	dark	45
13820	erit	45
14633	extreme	45
15139	fellows	45
15643	flowers	45
15877	formerly	45
16775	gentle	45
17706	hardly	45
20816	jam	45
25844	nought	45
26282	occasions	45
26953	ours	45
31963	res	45
31981	resist	45
34704	something	45
37565	torture	45
40052	ways	45
40055	weak	45
40306	winter	45
40592	youth	45
828	24	44
901	30	44
5437	began	44
5784	birth	44
6303	brother	44
8682	compelled	44
8921	conditions	44
9875	covetous	44
14143	example	44
14902	families	44
15930	forthwith	44
16409	furious	44
17112	got	44
18308	homer	44
20151	instantly	44
21465	lady	44
23109	malice	44
28735	pity	44
29298	post	44
29674	precious	44
29702	preferred	44
30665	purge	44
34217	simples	44
34298	sint	44
35251	state	44
35612	studies	44
39947	waking	44
40476	writ	44
2164	add	43
3390	amiss	43
5451	beginning	43
7762	choose	43
8731	composed	43
11051	dejected	43
12350	divines	43
14457	expel	43
17766	hatred	43
20123	insomuch	43
20845	jason	43
21185	justly	43
21296	kiss	43
24288	misaffected	43
25302	nay	43
27995	perform	43
28805	planets	43
30366	prov	43
30915	queen	43
30920	quem	43
33016	satisfy	43
33201	scholar	43
33493	secure	43
33879	sets	43
34739	sons	43
35736	sub	43
35959	sufficiently	43
37153	thick	43
37532	torment	43
40423	worlds	43
9455	contrary	42
9598	cor	42
11784	difference	42
13209	ejus	42
14019	europe	42
14998	fathers	42
15954	fortunate	42
16988	glory	42
17358	gross	42
20903	jews	42
21396	labours	42
21978	leo	42
28366	phantasy	42
29021	point	42
29960	proceeds	42
31675	relate	42
