"id","zodis","skaicius"
969,"361",1
970,"362",1
971,"363",1
972,"364",1
973,"365",2
974,"366",1
975,"367",1
976,"368",1
977,"369",1
978,"37",22
979,"370",1
980,"371",1
981,"372",1
982,"373",1
983,"374",1
984,"375",1
985,"376",1
986,"377",1
987,"378",1
988,"379",1
989,"38",12
990,"380",1
991,"381",1
992,"382",1
993,"383",1
994,"384",1
995,"385",1
996,"386",1
997,"387",1
998,"388",1
999,"389",1
1000,"39",6
1001,"390",1
1002,"391",1
1003,"392",1
1004,"393",1
1005,"394",1
1006,"395",1
1007,"396",1
1008,"397",1
1009,"398",1
1010,"399",1
1011,"4",282
1012,"40",21
1013,"400",10
1014,"4000",1
1015,"401",1
1016,"402",1
1017,"403",1
1018,"404",1
1019,"405",1
1020,"406",1
1021,"407",1
1022,"408",2
1023,"409",1
1024,"41",6
1025,"410",1
1026,"411",1
1027,"412",1
1028,"413",1
1029,"414",1
1030,"415",1
1031,"416",1
1032,"417",1
1033,"418",1
1034,"419",1
1035,"41st",1
1036,"42",9
1037,"420",1
1038,"421",1
1039,"422",1
1040,"423",1
1041,"424",1
1042,"425",1
1043,"426",1
1044,"427",1
1045,"428",1
1046,"429",1
1047,"43",10
1048,"430",1
1049,"431",1
1050,"432",1
1051,"433",1
1052,"434",1
1053,"435",1
1054,"436",1
1055,"437",1
1056,"438",1
1057,"439",1
1058,"44",14
1059,"440",1
1060,"441",1
1061,"442",1
1062,"443",1
1063,"444",1
1064,"445",1
1065,"446",1
1066,"447",1
1067,"448",2
1068,"449",1
1069,"45",14
1070,"450",1
1071,"451",1
1072,"452",1
1073,"453",1
1074,"454",1
1075,"455",2
1076,"456",2
1077,"457",1
1078,"458",1
1079,"459",1
1080,"46",7
1081,"460",1
1082,"461",1
1083,"462",2
1084,"463",1
1085,"464",1
1086,"465",1
1087,"466",1
1088,"467",1
1089,"468",1
1090,"469",1
1091,"47",6
1092,"470",1
1093,"471",1
1094,"472",1
1095,"473",1
1096,"474",1
1097,"475",1
1098,"476",1
1099,"477",1
1100,"478",1
