"zodis","total","singular","singular.num","plural","plural.num"
"estate",101,"estate",81,"estates",20
"noble",101,"",0,"",0
"christ",100,"",0,"",0
"general",100,"",0,"",0
"heat",100,"",0,"",0
"lie",100,"",0,"",0
"show",100,"",0,"",0
"sic",100,"",0,"",0
"dead",99,"",0,"",0
"four",99,"",0,"",0
"hercules",99,"",0,"",0
"memb",99,"",0,"",0
"subs",99,"",0,"",0
"told",99,"",0,"",0
"wind",99,"",0,"",0
"endure",98,"",0,"",0
"ill",98,"",0,"",0
"infinite",98,"",0,"",0
"princes",98,"princes",97,"princess",1
"run",98,"",0,"",0
"study",98,"",0,"",0
"third",98,"",0,"",0
"turn",98,"",0,"",0
"wealth",98,"",0,"",0
"wives",98,"",0,"",0
"works",98,"",0,"",0
"ease",97,"",0,"",0
"malady",97,"",0,"",0
"patient",97,"",0,"",0
"violent",97,"",0,"",0
"follow",96,"",0,"",0
"jealousy",96,"",0,"",0
"thine",96,"",0,"",0
"discontent",95,"",0,"",0
"each",95,"",0,"",0
"music",95,"",0,"",0
"quis",95,"",0,"",0
"sine",95,"sine",94,"sines",1
"fortunes",94,"",0,"",0
"generally",94,"",0,"",0
"moon",94,"moon",90,"moons",4
"sake",94,"sake",93,"sakes",1
"since",94,"",0,"",0
"stomach",94,"",0,"",0
"amor",93,"",0,"",0
"france",93,"france",91,"frances",2
"power",93,"",0,"",0
"second",93,"",0,"",0
"strong",93,"",0,"",0
"vel",93,"",0,"",0
"whose",93,"",0,"",0
"actions",92,"",0,"",0
"fools",92,"",0,"",0
"hand",92,"",0,"",0
"health",92,"",0,"",0
"heard",92,"",0,"",0
"hippocrate",92,"hippocrate",1,"hippocrates",91
"less",92,"",0,"",0
"sudden",92,"",0,"",0
"base",91,"",0,"",0
"democritus",90,"",0,"",0
"folly",90,"",0,"",0
"fortune",90,"",0,"",0
"near",90,"",0,"",0
"sole",90,"",0,"",0
"whatsoever",90,"",0,"",0
"business",89,"",0,"",0
"grace",89,"",0,"",0
"labour",89,"",0,"",0
"likewise",89,"",0,"",0
"private",89,"",0,"",0
"species",89,"",0,"",0
"stars",89,"",0,"",0
"causeth",88,"",0,"",0
"evil",88,"",0,"",0
"here",88,"",0,"",0
"particular",88,"",0,"",0
"prince",88,"",0,"",0
"writer",88,"writer",22,"writers",66
"aristotle",87,"",0,"",0
"dance",87,"",0,"",0
"fall",87,"",0,"",0
"frequent",87,"",0,"",0
"gone",87,"",0,"",0
"kingdom",87,"kingdom",52,"kingdoms",35
"quite",87,"",0,"",0
"conscience",86,"conscience",66,"consciences",20
"delight",86,"",0,"",0
"eye",86,"",0,"",0
"husband",86,"",0,"",0
"pain",86,"",0,"",0
"superstition",86,"",0,"",0
"chance",85,"",0,"",0
"effects",85,"",0,"",0
"enim",85,"",0,"",0
"kings",85,"",0,"",0
"author",84,"",0,"",0
"born",84,"",0,"",0
"comfort",84,"",0,"",0
"greater",84,"",0,"",0
"indeed",84,"",0,"",0
"italy",84,"",0,"",0
"kinds",84,"",0,"",0
"miserable",84,"",0,"",0
"person",84,"",0,"",0
"sickness",84,"",0,"",0
"soldier",84,"soldier",28,"soldiers",56
"went",84,"",0,"",0
"wits",84,"",0,"",0
"worth",84,"",0,"",0
"hic",83,"",0,"",0
"ii",83,"",0,"",0
"myself",83,"",0,"",0
"people",83,"",0,"",0
"sect",83,"",0,"",0
"except",82,"",0,"",0
"land",82,"",0,"",0
"occasion",82,"",0,"",0
"omnia",82,"",0,"",0
"relates",82,"",0,"",0
"despair",81,"",0,"",0
"famous",81,"",0,"",0
"gave",81,"",0,"",0
"herself",81,"",0,"",0
"home",81,"",0,"",0
"loss",81,"",0,"",0
"river",81,"river",40,"rivers",41
"scarce",81,"",0,"",0
"took",81,"",0,"",0
"written",81,"",0,"",0
"adds",80,"",0,"",0
"med",80,"",0,"",0
"need",80,"",0,"",0
"abroad",79,"",0,"",0
"between",79,"",0,"",0
"bird",79,"bird",18,"birds",61
"cures",79,"",0,"",0
"epist",79,"",0,"",0
"false",79,"",0,"",0
"fine",79,"",0,"",0
"houses",79,"",0,"",0
"marriage",79,"marriage",69,"marriages",10
"respect",79,"",0,"",0
"sin",79,"",0,"",0
"variety",79,"",0,"",0
"bring",78,"",0,"",0
"confess",78,"",0,"",0
"discourse",78,"",0,"",0
"effect",78,"",0,"",0
"experience",78,"",0,"",0
"familiar",78,"",0,"",0
"hast",78,"",0,"",0
"ob",78,"",0,"",0
"proper",78,"",0,"",0
"serve",78,"",0,"",0
"sort",78,"",0,"",0
"spirit",78,"",0,"",0
"wisdom",78,"wisdom",77,"wisdoms",1
"affections",77,"",0,"",0
"bitter",77,"",0,"",0
"blind",77,"",0,"",0
"e",77,"",0,"",0
"exercise",77,"",0,"",0
"heavy",77,"",0,"",0
"iii",77,"",0,"",0
"kept",77,"",0,"",0
"nisi",77,"",0,"",0
"sad",77,"",0,"",0
"sport",77,"sport",40,"sports",37
"worthy",77,"",0,"",0
"carried",76,"",0,"",0
"child",76,"",0,"",0
"content",76,"",0,"",0
"fearful",76,"",0,"",0
"idem",76,"",0,"",0
"montanus",76,"",0,"",0
"remedy",76,"",0,"",0
"stand",76,"",0,"",0
"temple",76,"temple",46,"temples",30
"ubi",76,"",0,"",0
"become",75,"become",65,"becomes",10
"laws",75,"",0,"",0
"mere",75,"",0,"",0
"open",75,"",0,"",0
"outward",75,"",0,"",0
"parents",75,"",0,"",0
"pliny",75,"",0,"",0
"rhasis",75,"",0,"",0
"sent",75,"",0,"",0
"sibi",75,"",0,"",0
"ac",74,"",0,"",0
"caused",74,"",0,"",0
"doubt",74,"",0,"",0
"fool",74,"",0,"",0
"married",74,"",0,"",0
"montaltus",74,"",0,"",0
"nunc",74,"",0,"",0
"ridiculous",74,"",0,"",0
"simple",74,"simple",30,"simples",44
"socrates",74,"",0,"",0
"story",74,"",0,"",0
"takes",74,"",0,"",0
"tam",74,"",0,"",0
"absurd",73,"",0,"",0
"appetite",73,"appetite",70,"appetites",3
"atque",73,"",0,"",0
"belike",73,"",0,"",0
"beyond",73,"",0,"",0
"david",73,"",0,"",0
"goods",73,"",0,"",0
"instance",73,"instance",48,"instances",25
"inter",73,"",0,"",0
"laurentius",73,"",0,"",0
"living",73,"living",67,"livings",6
"next",73,"",0,"",0
"quo",73,"",0,"",0
"suspicion",73,"",0,"",0
"thinks",73,"",0,"",0
"trouble",73,"",0,"",0
"wholly",73,"",0,"",0
"howsoever",72,"",0,"",0
"maid",72,"",0,"",0
"whilst",72,"",0,"",0
"continual",71,"",0,"",0
"hearts",71,"",0,"",0
"hundred",71,"hundred",67,"hundreds",4
"jealous",71,"",0,"",0
"john",71,"",0,"",0
"late",71,"",0,"",0
"offence",71,"offence",51,"offences",20
"wit",71,"",0,"",0
"anger",70,"",0,"",0
"fell",70,"",0,"",0
"hominum",70,"",0,"",0
"learning",70,"",0,"",0
"mischief",70,"mischief",55,"mischiefs",15
"sins",70,"",0,"",0
"alter",69,"",0,"",0
"happiness",69,"",0,"",0
"imagination",69,"",0,"",0
"laugh",69,"",0,"",0
"mean",69,"",0,"",0
"picture",69,"picture",35,"pictures",34
"please",69,"",0,"",0
"quum",69,"",0,"",0
"remedies",69,"",0,"",0
"superstitious",69,"",0,"",0
"apollo",68,"",0,"",0
"bear",68,"",0,"",0
"flower",68,"flower",23,"flowers",45
"foul",68,"",0,"",0
"homines",68,"",0,"",0
"parties",68,"",0,"",0
"peradventure",68,"",0,"",0
"bed",67,"",0,"",0
"companion",67,"companion",21,"companions",46
"grievous",67,"",0,"",0
"hate",67,"",0,"",0
"opposite",67,"opposite",65,"opposites",2
"perpetual",67,"",0,"",0
"question",67,"",0,"",0
"v",67,"",0,"",0
"wars",67,"",0,"",0
"caesar",66,"",0,"",0
"dear",66,"",0,"",0
"lived",66,"",0,"",0
"mercy",66,"",0,"",0
"mortal",66,"",0,"",0
"poverty",66,"",0,"",0
"right",66,"",0,"",0
"scaliger",66,"scaliger",65,"scaligers",1
"signs",66,"",0,"",0
"vein",66,"vein",17,"veins",49
"apt",65,"",0,"",0
"back",65,"",0,"",0
"fault",65,"",0,"",0
"learned",65,"",0,"",0
"peculiar",65,"",0,"",0
"pleasing",65,"",0,"",0
"seven",65,"",0,"",0
"sound",65,"",0,"",0
"spleen",65,"",0,"",0
"ages",64,"",0,"",0
"although",64,"",0,"",0
"dull",64,"",0,"",0
"fasting",64,"fasting",56,"fastings",8
"former",64,"",0,"",0
"greece",64,"",0,"",0
"horse",64,"",0,"",0
"its",64,"",0,"",0
"large",64,"",0,"",0
"loves",64,"",0,"",0
"mars",64,"",0,"",0
"ought",64,"",0,"",0
"commonwealth",63,"commonwealth",49,"commonwealths",14
"ego",63,"",0,"",0
"fears",63,"",0,"",0
"goes",63,"",0,"",0
"hands",63,"",0,"",0
"inconvenience",63,"inconvenience",22,"inconveniences",41
"just",63,"",0,"",0
"plague",63,"",0,"",0
"speaks",63,"",0,"",0
"waters",63,"",0,"",0
"while",63,"",0,"",0
"avicenna",62,"",0,"",0
"dei",62,"",0,"",0
"habet",62,"",0,"",0
"master",62,"",0,"",0
"nemo",62,"",0,"",0
"piece",62,"piece",30,"pieces",32
"religious",62,"",0,"",0
"saxonia",62,"",0,"",0
"twenty",62,"",0,"",0
"within",62,"",0,"",0
"crato",61,"",0,"",0
"dog",61,"",0,"",0
"dote",61,"",0,"",0
"fury",61,"",0,"",0
"gesture",61,"gesture",13,"gestures",48
"greatest",61,"",0,"",0
"hist",61,"",0,"",0
"inward",61,"",0,"",0
"lay",61,"",0,"",0
"lemnius",61,"",0,"",0
"offices",61,"",0,"",0
"omnium",61,"",0,"",0
"play",61,"",0,"",0
"poets",61,"",0,"",0
"psal",61,"",0,"",0
"sing",61,"",0,"",0
"turned",61,"",0,"",0
"animi",60,"",0,"",0
"clothes",60,"",0,"",0
"course",60,"",0,"",0
"cut",60,"",0,"",0
"dii",60,"dii",32,"diis",28
"egypt",60,"",0,"",0
"filthy",60,"",0,"",0
"hair",60,"",0,"",0
"lost",60,"",0,"",0
"observe",60,"",0,"",0
"past",60,"",0,"",0
"public",60,"",0,"",0
"six",60,"",0,"",0
"stone",60,"",0,"",0
"year",60,"",0,"",0
"chrysostom",59,"",0,"",0
"commends",59,"",0,"",0
"conceit",59,"",0,"",0
"continue",59,"",0,"",0
